Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner,Car_Age,Price_Drop
ritz,2014,3.35,5.59,27000,Petrol,Dealer,Manual,0,12,2.2399999999999998
sx4,2013,4.75,9.54,43000,Diesel,Dealer,Manual,0,13,4.789999999999999
ciaz,2017,7.25,9.85,6900,Petrol,Dealer,Manual,0,9,2.5999999999999996
wagon r,2011,2.85,4.15,5200,Petrol,Dealer,Manual,0,15,1.3000000000000003
swift,2014,4.6,6.87,42450,Diesel,Dealer,Manual,0,12,2.2700000000000005
vitara brezza,2018,9.25,9.83,2071,Diesel,Dealer,Manual,0,8,0.5800000000000001
ciaz,2015,6.75,8.12,18796,Petrol,Dealer,Manual,0,11,1.3699999999999992
s cross,2015,6.5,8.61,33429,Diesel,Dealer,Manual,0,11,2.1099999999999994
ciaz,2016,8.75,8.89,20273,Diesel,Dealer,Manual,0,10,0.14000000000000057
ciaz,2015,7.45,8.92,42367,Diesel,Dealer,Manual,0,11,1.4699999999999998
alto 800,2017,2.85,3.6,2135,Petrol,Dealer,Manual,0,9,0.75
ciaz,2015,6.85,10.38,51000,Diesel,Dealer,Manual,0,11,3.530000000000001
ciaz,2015,7.5,9.94,15000,Petrol,Dealer,Automatic,0,11,2.4399999999999995
ertiga,2015,6.1,7.71,26000,Petrol,Dealer,Manual,0,11,1.6100000000000003
dzire,2009,2.25,7.21,77427,Petrol,Dealer,Manual,0,17,4.96
ertiga,2016,7.75,10.79,43000,Diesel,Dealer,Manual,0,10,3.039999999999999
ertiga,2015,7.25,10.79,41678,Diesel,Dealer,Manual,0,11,3.539999999999999
wagon r,2015,3.25,5.09,35500,CNG,Dealer,Manual,0,11,1.8399999999999999
sx4,2010,2.65,7.98,41442,Petrol,Dealer,Manual,0,16,5.33
alto k10,2016,2.85,3.95,25000,Petrol,Dealer,Manual,0,10,1.1
ignis,2017,4.9,5.71,2400,Petrol,Dealer,Manual,0,9,0.8099999999999996
sx4,2011,4.4,8.01,50000,Petrol,Dealer,Automatic,0,15,3.6099999999999994
alto k10,2014,2.5,3.46,45280,Petrol,Dealer,Manual,0,12,0.96
wagon r,2013,2.9,4.41,56879,Petrol,Dealer,Manual,0,13,1.5100000000000002
swift,2011,3.0,4.99,20000,Petrol,Dealer,Manual,0,15,1.9900000000000002
swift,2013,4.15,5.87,55138,Petrol,Dealer,Manual,0,13,1.7199999999999998
swift,2017,6.0,6.49,16200,Petrol,Individual,Manual,0,9,0.4900000000000002
alto k10,2010,1.95,3.95,44542,Petrol,Dealer,Manual,0,16,2.0
ciaz,2015,7.45,10.38,45000,Diesel,Dealer,Manual,0,11,2.9300000000000006
ritz,2012,3.1,5.98,51439,Diesel,Dealer,Manual,0,14,2.8800000000000003
ritz,2011,2.35,4.89,54200,Petrol,Dealer,Manual,0,15,2.5399999999999996
swift,2014,4.95,7.49,39000,Diesel,Dealer,Manual,0,12,2.54
ertiga,2014,6.0,9.95,45000,Diesel,Dealer,Manual,0,12,3.9499999999999993
dzire,2014,5.5,8.06,45000,Diesel,Dealer,Manual,0,12,2.5600000000000005
sx4,2011,2.95,7.74,49998,CNG,Dealer,Manual,0,15,4.79
dzire,2015,4.65,7.2,48767,Petrol,Dealer,Manual,0,11,2.55
800,2003,0.35,2.28,127000,Petrol,Individual,Manual,0,23,1.9299999999999997
alto k10,2016,3.0,3.76,10079,Petrol,Dealer,Manual,0,10,0.7599999999999998
sx4,2003,2.25,7.98,62000,Petrol,Dealer,Manual,0,23,5.73
baleno,2016,5.85,7.87,24524,Petrol,Dealer,Automatic,0,10,2.0200000000000005
alto k10,2014,2.55,3.98,46706,Petrol,Dealer,Manual,0,12,1.4300000000000002
sx4,2008,1.95,7.15,58000,Petrol,Dealer,Manual,0,18,5.2
dzire,2014,5.5,8.06,45780,Diesel,Dealer,Manual,0,12,2.5600000000000005
omni,2012,1.25,2.69,50000,Petrol,Dealer,Manual,0,14,1.44
ciaz,2014,7.5,12.04,15000,Petrol,Dealer,Automatic,0,12,4.539999999999999
ritz,2013,2.65,4.89,64532,Petrol,Dealer,Manual,0,13,2.2399999999999998
wagon r,2006,1.05,4.15,65000,Petrol,Dealer,Manual,0,20,3.1000000000000005
ertiga,2015,5.8,7.71,25870,Petrol,Dealer,Manual,0,11,1.9100000000000001
ciaz,2017,7.75,9.29,37000,Petrol,Dealer,Automatic,0,9,1.5399999999999991
fortuner,2012,14.9,30.61,104707,Diesel,Dealer,Automatic,0,14,15.709999999999999
fortuner,2015,23.0,30.61,40000,Diesel,Dealer,Automatic,0,11,7.609999999999999
innova,2017,18.0,19.77,15000,Diesel,Dealer,Automatic,0,9,1.7699999999999996
fortuner,2013,16.0,30.61,135000,Diesel,Individual,Automatic,0,13,14.61
innova,2005,2.75,10.21,90000,Petrol,Individual,Manual,0,21,7.460000000000001
corolla altis,2009,3.6,15.04,70000,Petrol,Dealer,Automatic,0,17,11.44
etios cross,2015,4.5,7.27,40534,Petrol,Dealer,Manual,0,11,2.7699999999999996
corolla altis,2010,4.75,18.54,50000,Petrol,Dealer,Manual,0,16,13.79
etios g,2014,4.1,6.8,39485,Petrol,Dealer,Manual,1,12,2.7
fortuner,2014,19.99,35.96,41000,Diesel,Dealer,Automatic,0,12,15.970000000000002
corolla altis,2013,6.95,18.61,40001,Petrol,Dealer,Manual,0,13,11.66
etios cross,2015,4.5,7.7,40588,Petrol,Dealer,Manual,0,11,3.2
fortuner,2014,18.75,35.96,78000,Diesel,Dealer,Automatic,0,12,17.21
fortuner,2015,23.5,35.96,47000,Diesel,Dealer,Automatic,0,11,12.46
fortuner,2017,33.0,36.23,6000,Diesel,Dealer,Automatic,0,9,3.229999999999997
etios liva,2014,4.75,6.95,45000,Diesel,Dealer,Manual,0,12,2.2
innova,2017,19.75,23.15,11000,Petrol,Dealer,Automatic,0,9,3.3999999999999986
fortuner,2010,9.25,20.45,59000,Diesel,Dealer,Manual,0,16,11.2
corolla altis,2011,4.35,13.74,88000,Petrol,Dealer,Manual,0,15,9.39
corolla altis,2016,14.25,20.91,12000,Petrol,Dealer,Manual,0,10,6.66
etios liva,2014,3.95,6.76,71000,Diesel,Dealer,Manual,0,12,2.8099999999999996
corolla altis,2011,4.5,12.48,45000,Diesel,Dealer,Manual,0,15,7.98
corolla altis,2013,7.45,18.61,56001,Petrol,Dealer,Manual,0,13,11.16
etios liva,2011,2.65,5.71,43000,Petrol,Dealer,Manual,0,15,3.06
etios cross,2014,4.9,8.93,83000,Diesel,Dealer,Manual,0,12,4.029999999999999
etios g,2015,3.95,6.8,36000,Petrol,Dealer,Manual,0,11,2.8499999999999996
corolla altis,2013,5.5,14.68,72000,Petrol,Dealer,Manual,0,13,9.18
corolla,2004,1.5,12.35,135154,Petrol,Dealer,Automatic,0,22,10.85
corolla altis,2010,5.25,22.83,80000,Petrol,Dealer,Automatic,0,16,17.58
fortuner,2012,14.5,30.61,89000,Diesel,Dealer,Automatic,0,14,16.11
corolla altis,2016,14.73,14.89,23000,Diesel,Dealer,Manual,0,10,0.16000000000000014
etios gd,2015,4.75,7.85,40000,Diesel,Dealer,Manual,0,11,3.0999999999999996
innova,2017,23.0,25.39,15000,Diesel,Dealer,Automatic,0,9,2.3900000000000006
innova,2015,12.5,13.46,38000,Diesel,Dealer,Manual,0,11,0.9600000000000009
innova,2005,3.49,13.46,197176,Diesel,Dealer,Manual,0,21,9.97
camry,2006,2.5,23.73,142000,Petrol,Individual,Automatic,3,20,21.23
land cruiser,2010,35.0,92.6,78000,Diesel,Dealer,Manual,0,16,57.599999999999994
corolla altis,2012,5.9,13.74,56000,Petrol,Dealer,Manual,0,14,7.84
etios liva,2013,3.45,6.05,47000,Petrol,Dealer,Manual,0,13,2.5999999999999996
etios g,2014,4.75,6.76,40000,Petrol,Dealer,Manual,0,12,2.01
corolla altis,2009,3.8,18.61,62000,Petrol,Dealer,Manual,0,17,14.809999999999999
innova,2014,11.25,16.09,58242,Diesel,Dealer,Manual,0,12,4.84
innova,2005,3.51,13.7,75000,Petrol,Dealer,Manual,0,21,10.19
corolla altis,2008,4.0,22.78,89000,Petrol,Dealer,Automatic,0,18,18.78
corolla altis,2012,5.85,18.61,72000,Petrol,Dealer,Manual,0,14,12.76
innova,2016,20.75,25.39,29000,Diesel,Dealer,Automatic,0,10,4.640000000000001
corolla altis,2017,17.0,18.64,8700,Petrol,Dealer,Manual,0,9,1.6400000000000006
corolla altis,2013,7.05,18.61,45000,Petrol,Dealer,Manual,0,13,11.559999999999999
fortuner,2010,9.65,20.45,50024,Diesel,Dealer,Manual,0,16,10.799999999999999
Royal Enfield Thunder 500,2016,1.75,1.9,3000,Petrol,Individual,Manual,0,10,0.1499999999999999
UM Renegade Mojave,2017,1.7,1.82,1400,Petrol,Individual,Manual,0,9,0.1200000000000001
KTM RC200,2017,1.65,1.78,4000,Petrol,Individual,Manual,0,9,0.13000000000000012
Bajaj Dominar 400,2017,1.45,1.6,1200,Petrol,Individual,Manual,0,9,0.15000000000000013
Royal Enfield Classic 350,2017,1.35,1.47,4100,Petrol,Individual,Manual,0,9,0.11999999999999988
KTM RC390,2015,1.35,2.37,21700,Petrol,Individual,Manual,0,11,1.02
Hyosung GT250R,2014,1.35,3.45,16500,Petrol,Individual,Manual,1,12,2.1
Royal Enfield Thunder 350,2013,1.25,1.5,15000,Petrol,Individual,Manual,0,13,0.25
Royal Enfield Thunder 350,2016,1.2,1.5,18000,Petrol,Individual,Manual,0,10,0.30000000000000004
Royal Enfield Classic 350,2017,1.2,1.47,11000,Petrol,Individual,Manual,0,9,0.27
KTM RC200,2016,1.2,1.78,6000,Petrol,Individual,Manual,0,10,0.5800000000000001
Royal Enfield Thunder 350,2016,1.15,1.5,8700,Petrol,Individual,Manual,0,10,0.3500000000000001
KTM 390 Duke ,2014,1.15,2.4,7000,Petrol,Individual,Manual,0,12,1.25
Mahindra Mojo XT300,2016,1.15,1.4,35000,Petrol,Individual,Manual,0,10,0.25
Royal Enfield Classic 350,2015,1.15,1.47,17000,Petrol,Individual,Manual,0,11,0.32000000000000006
Royal Enfield Classic 350,2015,1.11,1.47,17500,Petrol,Individual,Manual,0,11,0.3599999999999999
Royal Enfield Classic 350,2013,1.1,1.47,33000,Petrol,Individual,Manual,0,13,0.3699999999999999
Royal Enfield Thunder 500,2015,1.1,1.9,14000,Petrol,Individual,Manual,0,11,0.7999999999999998
Royal Enfield Classic 350,2015,1.1,1.47,26000,Petrol,Individual,Manual,0,11,0.3699999999999999
Royal Enfield Thunder 500,2013,1.05,1.9,5400,Petrol,Individual,Manual,0,13,0.8499999999999999
Bajaj Pulsar RS200,2016,1.05,1.26,5700,Petrol,Individual,Manual,0,10,0.20999999999999996
Royal Enfield Thunder 350,2011,1.05,1.5,6900,Petrol,Individual,Manual,0,15,0.44999999999999996
Royal Enfield Bullet 350,2016,1.05,1.17,6000,Petrol,Individual,Manual,0,10,0.11999999999999988
Royal Enfield Classic 350,2013,1.0,1.47,46500,Petrol,Individual,Manual,0,13,0.47
Royal Enfield Classic 500,2012,0.95,1.75,11500,Petrol,Individual,Manual,0,14,0.8
Royal Enfield Classic 500,2009,0.9,1.75,40000,Petrol,Individual,Manual,0,17,0.85
Bajaj Avenger 220,2017,0.9,0.95,1300,Petrol,Individual,Manual,0,9,0.04999999999999993
Bajaj Avenger 150,2016,0.75,0.8,7000,Petrol,Individual,Manual,0,10,0.050000000000000044
Honda CB Hornet 160R,2017,0.8,0.87,3000,Petrol,Individual,Manual,0,9,0.06999999999999995
Yamaha FZ S V 2.0,2017,0.78,0.84,5000,Petrol,Individual,Manual,0,9,0.05999999999999994
Honda CB Hornet 160R,2017,0.75,0.87,11000,Petrol,Individual,Manual,0,9,0.12
Yamaha FZ 16,2015,0.75,0.82,18000,Petrol,Individual,Manual,0,11,0.06999999999999995
Bajaj Avenger 220,2017,0.75,0.95,3500,Petrol,Individual,Manual,0,9,0.19999999999999996
Bajaj Avenger 220,2016,0.72,0.95,500,Petrol,Individual,Manual,0,10,0.22999999999999998
TVS Apache RTR 160,2017,0.65,0.81,11800,Petrol,Individual,Manual,0,9,0.16000000000000003
Bajaj Pulsar 150,2015,0.65,0.74,5000,Petrol,Individual,Manual,0,11,0.08999999999999997
Honda CBR 150,2014,0.65,1.2,23500,Petrol,Individual,Manual,0,12,0.5499999999999999
Hero Extreme,2013,0.65,0.787,16000,Petrol,Individual,Manual,0,13,0.137
Honda CB Hornet 160R,2016,0.6,0.87,15000,Petrol,Individual,Manual,0,10,0.27
Bajaj Avenger 220 dtsi,2015,0.6,0.95,16600,Petrol,Individual,Manual,0,11,0.35
Honda CBR 150,2013,0.6,1.2,32000,Petrol,Individual,Manual,0,13,0.6
Bajaj Avenger 150 street,2016,0.6,0.8,20000,Petrol,Individual,Manual,0,10,0.20000000000000007
Yamaha FZ  v 2.0,2015,0.6,0.84,29000,Petrol,Individual,Manual,0,11,0.24
Yamaha FZ  v 2.0,2016,0.6,0.84,25000,Petrol,Individual,Manual,0,10,0.24
Bajaj Pulsar  NS 200,2014,0.6,0.99,25000,Petrol,Individual,Manual,0,12,0.39
TVS Apache RTR 160,2012,0.6,0.81,19000,Petrol,Individual,Manual,0,14,0.21000000000000008
Hero Extreme,2014,0.55,0.787,15000,Petrol,Individual,Manual,0,12,0.237
Yamaha FZ S V 2.0,2015,0.55,0.84,58000,Petrol,Individual,Manual,0,11,0.2899999999999999
Bajaj Pulsar 220 F,2010,0.52,0.94,45000,Petrol,Individual,Manual,0,16,0.41999999999999993
Bajaj Pulsar 220 F,2016,0.51,0.94,24000,Petrol,Individual,Manual,0,10,0.42999999999999994
TVS Apache RTR 180,2011,0.5,0.826,6000,Petrol,Individual,Manual,0,15,0.32599999999999996
Hero Passion X pro,2016,0.5,0.55,31000,Petrol,Individual,Manual,0,10,0.050000000000000044
Bajaj Pulsar NS 200,2012,0.5,0.99,13000,Petrol,Individual,Manual,0,14,0.49
Bajaj Pulsar NS 200,2013,0.5,0.99,45000,Petrol,Individual,Manual,0,13,0.49
Yamaha Fazer ,2014,0.5,0.88,8000,Petrol,Individual,Manual,0,12,0.38
Honda Activa 4G,2017,0.48,0.51,4300,Petrol,Individual,Automatic,0,9,0.030000000000000027
TVS Sport ,2017,0.48,0.52,15000,Petrol,Individual,Manual,0,9,0.040000000000000036
Yamaha FZ S V 2.0,2015,0.48,0.84,23000,Petrol,Individual,Manual,0,11,0.36
Honda Dream Yuga ,2017,0.48,0.54,8600,Petrol,Individual,Manual,0,9,0.06000000000000005
Honda Activa 4G,2017,0.45,0.51,4000,Petrol,Individual,Automatic,0,9,0.06
Bajaj Avenger Street 220,2011,0.45,0.95,24000,Petrol,Individual,Manual,0,15,0.49999999999999994
TVS Apache RTR 180,2014,0.45,0.826,23000,Petrol,Individual,Manual,0,12,0.37599999999999995
Bajaj Pulsar NS 200,2012,0.45,0.99,14500,Petrol,Individual,Manual,0,14,0.54
Bajaj Avenger 220 dtsi,2010,0.45,0.95,27000,Petrol,Individual,Manual,0,16,0.49999999999999994
Hero Splender iSmart,2016,0.45,0.54,14000,Petrol,Individual,Manual,0,10,0.09000000000000002
Activa 3g,2016,0.45,0.54,500,Petrol,Individual,Automatic,0,10,0.09000000000000002
Hero Passion Pro,2016,0.45,0.55,1000,Petrol,Individual,Manual,0,10,0.10000000000000003
TVS Apache RTR 160,2014,0.42,0.81,42000,Petrol,Individual,Manual,0,12,0.39000000000000007
Honda CB Trigger,2013,0.42,0.73,12000,Petrol,Individual,Manual,0,13,0.31
Hero Splender iSmart,2015,0.4,0.54,14000,Petrol,Individual,Manual,0,11,0.14
Yamaha FZ S ,2012,0.4,0.83,5500,Petrol,Individual,Manual,0,14,0.42999999999999994
Hero Passion Pro,2015,0.4,0.55,6700,Petrol,Individual,Manual,0,11,0.15000000000000002
Bajaj Pulsar 135 LS,2014,0.4,0.64,13700,Petrol,Individual,Manual,0,12,0.24
Activa 4g,2017,0.4,0.51,1300,Petrol,Individual,Automatic,0,9,0.10999999999999999
Honda CB Unicorn,2015,0.38,0.72,38600,Petrol,Individual,Manual,0,11,0.33999999999999997
Hero Honda CBZ extreme,2011,0.38,0.787,75000,Petrol,Individual,Manual,0,15,0.40700000000000003
Honda Karizma,2011,0.35,1.05,30000,Petrol,Individual,Manual,0,15,0.7000000000000001
Honda Activa 125,2016,0.35,0.57,24000,Petrol,Individual,Automatic,0,10,0.21999999999999997
TVS Jupyter,2014,0.35,0.52,19000,Petrol,Individual,Automatic,0,12,0.17000000000000004
Honda Karizma,2010,0.31,1.05,213000,Petrol,Individual,Manual,0,16,0.74
Hero Honda Passion Pro,2012,0.3,0.51,60000,Petrol,Individual,Manual,0,14,0.21000000000000002
Hero Splender Plus,2016,0.3,0.48,50000,Petrol,Individual,Manual,0,10,0.18
Honda CB Shine,2013,0.3,0.58,30000,Petrol,Individual,Manual,0,13,0.27999999999999997
Bajaj Discover 100,2013,0.27,0.47,21000,Petrol,Individual,Manual,0,13,0.19999999999999996
Bajaj Pulsar 150,2008,0.25,0.75,26000,Petrol,Individual,Manual,1,18,0.5
Suzuki Access 125,2008,0.25,0.58,1900,Petrol,Individual,Automatic,0,18,0.32999999999999996
TVS Wego,2010,0.25,0.52,22000,Petrol,Individual,Automatic,0,16,0.27
Honda CB twister,2013,0.25,0.51,32000,Petrol,Individual,Manual,0,13,0.26
Hero Glamour,2013,0.25,0.57,18000,Petrol,Individual,Manual,0,13,0.31999999999999995
Hero Super Splendor,2005,0.2,0.57,55000,Petrol,Individual,Manual,0,21,0.36999999999999994
Bajaj Pulsar 150,2008,0.2,0.75,60000,Petrol,Individual,Manual,0,18,0.55
Bajaj Discover 125,2012,0.2,0.57,25000,Petrol,Individual,Manual,1,14,0.36999999999999994
Hero Hunk,2007,0.2,0.75,49000,Petrol,Individual,Manual,1,19,0.55
Hero  Ignitor Disc,2013,0.2,0.65,24000,Petrol,Individual,Manual,1,13,0.45
Hero  CBZ Xtreme,2008,0.2,0.787,50000,Petrol,Individual,Manual,0,18,0.587
Bajaj  ct 100,2015,0.18,0.32,35000,Petrol,Individual,Manual,0,11,0.14
